04,06,32,34,57,25
06,18,35,49,56,17
07,22,40,41,56,01
01,06,10,62,68,25
18,28,34,36,69,10
39,42,46,53,69,04
04,17,26,28,31,17
07,16,43,63,65,01
16,18,28,32,56,13
04,49,53,58,67,21
02,36,53,66,70,11
26,28,34,37,42,15
06,16,21,48,53,21
02,21,31,36,43,01
02,16,30,55,59,11
09,44,55,58,64,17
08,11,13,29,42,05
10,11,20,24,65,03
14,37,44,52,69,04
07,25,32,38,64,01
06,22,38,46,48,22
19,41,43,59,69,24
09,35,37,62,70,23
06,08,15,19,33,08
05,29,41,42,51,06
16,17,24,31,64,06
34,46,56,57,70,19
29,30,37,48,64,03
04,07,08,34,62,09
20,26,42,48,53,12
24,47,64,68,70,12
04,13,27,54,56,10
25,30,31,59,70,08
01,09,33,56,61,01
02,05,32,42,63,23
23,26,30,34,46,11
06,31,39,44,48,18
04,13,27,31,67,01
13,23,33,40,59,12
06,17,26,32,37,25
24,40,45,58,60,12
14,22,25,50,65,21
08,35,59,67,69,21
02,36,55,62,64,07
04,14,21,67,70,07
40,48,54,66,70,06
21,43,55,62,67,21
09,15,27,47,59,10
01,05,12,34,64,21
06,37,41,50,51,10
12,27,35,50,57,24
24,36,39,42,55,14
09,25,39,41,52,06
35,42,51,57,60,07
02,08,16,23,66,20
05,25,42,53,54,08
08,37,62,66,70,01
23,24,31,36,45,15
01,11,16,63,64,03
10,17,23,26,66,19
06,09,45,52,55,18
13,20,22,61,68,03
33,45,57,65,67,25
17,22,47,51,69,14
07,17,28,32,56,22
09,22,42,65,68,04
09,43,46,50,70,09
05,16,19,32,59,03
14,23,25,47,66,01
01,06,20,40,49,07
04,10,33,34,53,07
03,37,38,39,46,22
